rowID;ref_Label;gz_id;lugar_nombre;lugar_variantes;toponym-match;toponym-score;saint-match;category-match;territories-match;phase-1-outcome;ref_Region;ref_Jurisdiccion;ref_Obispado;ref_START;ref_END;ref_Pais;ref_Adm1;manual_region;manual_province;manual_district;manual_ciudad_villa_only
128;Santa Lucia;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
110;Sant Cruz Amilpas;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
112;Zaachila;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
117;Guelavia;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
146;Usila;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
145;Tiltepec;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
116;Guelavia;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
136;San Pablo, district of Cuatro Villas;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
144;Xaltepetongo;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
143;Tamazulapa;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
142;Santiago Tillo;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
141;Xinastla;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
149;Chalcatongo;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
140;Sujeto of Teposcolula;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
139;Petalcingo;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
138;Achiutla;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
103;San Gabriel Chilac;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
102;Tetela de Xonotla;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
105;Izucar de Matamoros;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
101;San Andres Chalchicomula;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
104;Soquitlan;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
15;Cuauhtitlan;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
10;Ecatepec;1000087;San Cristobal Ecatepec;;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Ecatepec;;1782.0;1782.0;MEX;;;;;False
9;Tulpetlac;1000991;Santa Maria Tulpetlac;;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Ecatepec;;1780.0;1780.0;MEX;;;;;False
1;Mexicalcingo;1000096;San Marcos Mexicaltzingo;;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Mexicalcingo;;1802.0;1802.0;MEX;;;;;False
3;Huitzilopochco;1001362;San Mateo Churubusco;Huitzilopochco @ Huizilobusco @ Ocholopuchco @ Choloposco;toponym_variante;1.0;saint_null;category_null;matched;adopted_candidate;NES;Mexicalcingo;;1800.0;1800.0;MEX;;;;;False
2;Santa Marta;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
18;Mexico City ;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
17;Mexico City ;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
16;Mexico City ;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
14;Ozumbilla;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
13;Betlen;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
5;Huixquilucan;1001429;San Antonio Huixquilucan;;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Tacuba;;1769.0;1769.0;MEX;;;;;False
4;San Pedro Excapusaltongo;1001415;San Pedro Atzcaputzaltongo;Escapuzalco @ Excapusaltongo;toponym_levenshtein;1.0;saint_mismatch;category_null;matched;adopted_candidate;NES;Tacuba;;1760.0;1760.0;MEX;;;;;False
6;Tepetitlan;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
12;Acolman;1001635;San Agustin Acolman;;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Texcoco;;1774.0;1774.0;MEX;;;;;False
11;Atengo;;;;;0.0;;;no_matches_all_levels;relegated;;;;;;;;;;;False
8;Xochitepec;1001828;Santa Cruz Xochitepec;;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Xochimilco;;1796.0;1796.0;MEX;;;;;False
7;Milpa Alta;1001810;Asuncion Milpa Alta;;toponym_label;1.0;saint_null;category_null;matched;auto_adopt;NES;Xochimilco;;1720.0;1720.0;MEX;;;;;False
