rowID;ref_Label;gz_id;lugar_nombre;lugar_variantes;toponym-match;toponym-score;saint-match;category-match;territories-match;phase-1-outcome;ref_START;ref_END;ref_Partido;ref_Obispado;ref_Audiencia;manual_region;manual_province;manual_district;manual_ciudad_villa_only
148;Lambayeque;;;;;0;;;missing_spatial_fields;relegated;;;;;;;;;False
149;Vischongos;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
150;Checras;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
151;Huamanga;6000006;San Juan de la Frontera de Huamanga;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1782.0;1782.0;;Huamanga;;;;;False
152;Marcapata;6000330;Marcapata;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1783.0;1783.0;Quispicanchis;;;;;;False
153;Huarochiri;6000807;Huarochiri;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1783.0;1783.0;;Lima;;;;;False
154;Oruro;8000010;San Miguel de Oruro;Uru-Uru;toponym_label;1;saint_null;category_null;matched;auto_adopt;1755.0;1755.0;Oruro;;;;;;False
155;Sicasica;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
156;Coroma?;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
157;Chope;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
158;Yanacachi;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
159;Chuma;8000110;Chuma;Chumo @;toponym_label;1;saint_null;category_null;matched;auto_adopt;1759.0;1759.0;Larecaja;;;;;;False
160;Laxa;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
161;Azangaro;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
162;Cabari;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
163;Laxa;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
164;Calacoto;8000125;Calacoto;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1760.0;1760.0;Pacajes;;;;;;False
165;Toledo;8000053;Toledo;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1760.0;1760.0;Paria;;;;;;False
166;Tarabucu;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
167;Tacobamba;8000183;Tacobamba;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1761.0;1761.0;Porco;;;;;;False
168;Pocota;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
169;Tapacari;8000029;Tapacari;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1762.0;1762.0;Cochabamba;;;;;;False
170;Viacha;8000131;Viacha;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1762.0;1762.0;Pacajes;;;;;;False
171;Mohosa;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
172;Azangaro;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
173;Paucarcolla;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
174;Paucarcolla;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
175;Pomacanchis;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
176;Cabanaconde;6000072;Cabanaconde;Chabanaconde @  Cabana @;toponym_label;1;saint_null;category_null;matched;auto_adopt;1769.0;1769.0;Caylloma;;;;;;False
