rowID;ref_Label;gz_id;toponym-match;toponym-score;saint-match;category-match;territories-match;phase-1-outcome;ref_Region;ref_START;ref_END;manual_region;manual_province;manual_district;manual_ciudad_villa_only
149;Puerto Principe;;null;0;null;null;no_matches_all_levels;relegated;SDO;1111;9999;;;;False
150;San Juan de los Remedios;;null;0;null;null;no_matches_all_levels;relegated;SDO;1111;9999;;;;False
151;San Juan de Puerto Rico;;null;0;null;null;no_matches_all_levels;relegated;SDO;1111;9999;;;;False
152;Sancti Spiritus;;null;0;null;null;no_matches_all_levels;relegated;SDO;1111;9999;;;;False
153;Santa Clara;;null;0;null;null;no_matches_all_levels;relegated;SDO;1111;9999;;;;False
154;Santiago de Cuba;;null;0;null;null;no_matches_all_levels;relegated;SDO;1111;9999;;;;False
155;Santo Domingo;;null;0;null;null;no_matches_all_levels;relegated;SDO;1111;9999;;;;False
156;Trinidad de Cuba;;null;0;null;null;no_matches_all_levels;relegated;SDO;1111;9999;;;;False
157;Barquisimeto;;null;0;null;null;no_matches_all_levels;relegated;VEN;1111;9999;;;;False
158;Caracas;;null;0;null;null;no_matches_all_levels;relegated;VEN;1111;9999;;;;False
159;Carora;;null;0;null;null;no_matches_all_levels;relegated;VEN;1111;9999;;;;False
160;Coro;;null;0;null;null;no_matches_all_levels;relegated;VEN;1111;9999;;;;False
161;Cumaná;;null;0;null;null;no_matches_all_levels;relegated;VEN;1111;9999;;;;False
162;Guanare;;null;0;null;null;no_matches_all_levels;relegated;VEN;1111;9999;;;;False
163;isla Margarita;;null;0;null;null;no_matches_all_levels;relegated;VEN;1111;9999;;;;False
164;isla Trinidad;;null;0;null;null;no_matches_all_levels;relegated;VEN;1111;9999;;;;False
165;La Guaira;;null;0;null;null;no_matches_all_levels;relegated;VEN;1111;9999;;;;False
166;La Guayana;;null;0;null;null;no_matches_all_levels;relegated;VEN;1111;9999;;;;False
167;Maracaibo;;null;0;null;null;no_matches_all_levels;relegated;VEN;1111;9999;;;;False
168;Nirgua;;null;0;null;null;no_matches_all_levels;relegated;VEN;1111;9999;;;;False
169;Orinoco;;null;0;null;null;no_matches_all_levels;relegated;VEN;1111;9999;;;;False
170;San Sebastián de los Reyes;;null;0;null;null;no_matches_all_levels;relegated;VEN;1111;9999;;;;False
171;Trujillo;;null;0;null;null;no_matches_all_levels;relegated;VEN;1111;9999;;;;False
172;Tucuyo;;null;0;null;null;no_matches_all_levels;relegated;VEN;1111;9999;;;;False
173;Valencia;;null;0;null;null;no_matches_all_levels;relegated;VEN;1111;9999;;;;False
174;Cáceres;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
175;Antioquia;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
176;Cartagena;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
177;Cartago;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
178;Honda;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
179;Mompox;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
180;Novitá;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
181;Ocaña;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
182;Panamá;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
183;Portobelo;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
184;Remedios;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
185;Riohacha;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
186;Santa Fe de Bogota;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
187;Santa Marta;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
188;Zitara;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
189;Popayán;;null;0;null;null;no_matches_all_levels;relegated;QUI;1111;9999;;;;False
190;Anserma;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
191;Ayapel;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
192;Bodegas de Honda;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
193;Buga;;null;0;null;null;no_matches_all_levels;relegated;QUI;1111;9999;;;;False
194;Cáceres;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
195;Calí;;null;0;null;null;no_matches_all_levels;relegated;QUI;1111;9999;;;;False
196;Cancán;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
197;El Retiro;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
198;Girón;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
199;Guamoco;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
200;La Palma;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
201;Loba;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
202;Mariquita;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
203;Medellín;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
204;Neiva;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
205;Pamplona;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
206;Pántanos;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
207;Rionegro;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
208;Simití;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
209;Toro;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
210;Valledupar;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
211;Vega de Supía;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
212;Yolombo;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
213;Zaragoza;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
214;Barbacoas;;null;0;null;null;no_matches_all_levels;relegated;QUI;1111;9999;;;;False
215;Iscuandé;;null;0;null;null;no_matches_all_levels;relegated;QUI;1111;9999;;;;False
216;Micay;;null;0;null;null;no_matches_all_levels;relegated;QUI;1111;9999;;;;False
217;Raposo;;null;0;null;null;no_matches_all_levels;relegated;QUI;1111;9999;;;;False
218;Tumaco;;null;0;null;null;no_matches_all_levels;relegated;QUI;1111;9999;;;;False
219;Córdoba;;null;0;null;null;no_matches_all_levels;relegated;RPL;1111;9999;;;;False
220;Salta;;null;0;null;null;no_matches_all_levels;relegated;RPL;1111;9999;;;;False
221;Mexico;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
222;Santa Fe;;null;0;null;null;no_matches_all_levels;relegated;NGR;1111;9999;;;;False
223;Lima;;null;0;null;null;no_matches_all_levels;relegated;PER;1111;9999;;;;False
224;Quito;;null;0;null;null;no_matches_all_levels;relegated;QUI;1111;9999;;;;False
225;Buenos Aires;;null;0;null;null;no_matches_all_levels;relegated;RPL;1111;9999;;;;False
226;La Habana;;null;0;null;null;no_matches_all_levels;relegated;SDO;1111;9999;;;;False
227;Caracas;;null;0;null;null;no_matches_all_levels;relegated;VEN;1111;9999;;;;False
228;Barinas;;null;0;null;null;no_matches_all_levels;relegated;VEN;1111;9999;;;;False
229;Real de Tayoltita;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
230;México;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
231;Guadalajara;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
232;Chihuahua;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
233;Durango;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
234;Guanajuato;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
235;Acapulco;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
236;Pachuca;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
237;Valladolid de Michoacán;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
238;Compostela;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
239;Monterrey;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
240;Linares;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
241;Presidio de Nuevo México;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
242;Oaxaca;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
243;Puebla;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
244;Puebla;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
245;San Luís Potosí;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
246;Arizpe;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
247;Tabasco;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
248;Villahermosa;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
249;San Antonio de Béjar;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
250;Tlaxcala;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
251;Tlaxcala;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
252;Veracruz;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
253;Merida de Yucatan;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
254;Valladolid de Yucatan;;null;0;null;null;no_matches_all_levels;relegated;NES;1111;9999;;;;False
255;Zacatecas;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
256;Presidio Cerrogordo;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
257;Presidio de Conchos;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
258;Cuencame;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
259;Guarisamey;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
260;Mapimi;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
261;Santiago Papasquiaro;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
262;Real  del Parral;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
263;Santa María de las Parras;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
264;Real  del Oro;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
265;Saltillo;;null;0;null;null;no_matches_all_levels;relegated;GDJ;1111;9999;;;;False
