ref_Region;internalID;Label;Tipo;Cardinalidad;Rango;ref_Label;ref_START;START_ex;ref_END;END_ex;Nota;Fuente;Orden;Superior;Principal;Domain;rowID
NES;Correo_1000218;Estafeta de correo de Papantla;Estafeta de correo;Estafeta;4;Papantla;1111;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo;414
NES;Correo_1000219;Estafeta de correo de Tuxtla;Estafeta de correo;Estafeta;4;Tuxtla;1111;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo;415
NES;Correo_1000220;Estafeta de correo de La Antigua;Estafeta de correo;Estafeta;4;La Antigua;1111;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo;416
NES;Correo_1000221;Estafeta de correo de Xalapa;Estafeta de correo;Estafeta;4;Xalapa;1111;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo;417
NES;Correo_1000226;Estafeta de correo de Campeche;Estafeta de correo;Estafeta;4;Campeche;1111;;9999;;;AGI_Correos;;Veracruz;Veracruz;Correo;418
GDJ;Correo_1000233;Estafeta de correo de Aguascalientes;Estafeta de correo;Estafeta;4;Aguascalientes;1111;;9999;;;AGI_Correos;;Zacatecas;Mexico;Correo;419
GDJ;Correo_1000234;Estafeta de correo de Real del Fresnillo;Estafeta de correo;Estafeta;4;Real del Fresnillo;1111;;9999;;;AGI_Correos;;Zacatecas;Mexico;Correo;420
GDJ;Correo_1000235;Estafeta de correo de Jerez;Estafeta de correo;Estafeta;4;Jerez;1111;;9999;;;AGI_Correos;;Zacatecas;Mexico;Correo;421
GDJ;Correo_1000237;Estafeta de correo de Mazapil;Estafeta de correo;Estafeta;4;Mazapil;1111;;9999;;;AGI_Correos;;San Luis Potosi;Mexico;Correo;422
GDJ;Correo_1000239;Estafeta de correo de San Martín de la Sierra de Pinos;Estafeta de correo;Estafeta;4;San Martín de la Sierra de Pinos;1111;;9999;;;AGI_Correos;;San Luis Potosi;Mexico;Correo;423
