rowID;ref_Label;gz_id;toponym-match;toponym-score;saint-match;category-match;territories-match;phase-1-outcome;ref_Region;ref_Jurisdiccion;ref_START;ref_END;manual_region;manual_province;manual_district;manual_ciudad_villa_only;manual_category
147;Yanhuitlan;;;0;;;missing_spatial_fields;relegated;NES;;1775;1775;;;;False;
148;Chalcatongo;;;0;;;missing_spatial_fields;relegated;NES;;1779;1779;;;;False;
149;Chalcatongo;;;0;;;missing_spatial_fields;relegated;NES;;1674;1674;;;;False;
150;Achiutla;;;0;;;missing_spatial_fields;relegated;NES;;1785;1785;;;;False;
151;Yolomecatl;;;0;;;missing_spatial_fields;relegated;NES;;1743;1743;;;;False;
152;Yolomecatl;;;0;;;missing_spatial_fields;relegated;NES;;1744;1744;;;;False;
153;Santo Domingo Yodoino;;;0;;;missing_spatial_fields;relegated;NES;;1753;1753;;;;False;
154;San Andres Xinastla;;;0;;;missing_spatial_fields;relegated;NES;;1737;1737;;;;False;
155;Teozacualco ;;;0;;;missing_spatial_fields;relegated;NES;;1774;1774;;;;False;
156;San Miguel Malinaltepec;;;0;;;missing_spatial_fields;relegated;NES;;1806;1806;;;;False;
157;Theotila;;;0;;;missing_spatial_fields;relegated;NES;;1754;1754;;;;False;
158;Teposcolula;;;0;;;missing_spatial_fields;relegated;NES;;1777;1777;;;;False;
159;San Miguel el Grande;;;0;;;missing_spatial_fields;relegated;NES;;1780;1780;;;;False;
160;Coixtlahuaca;;;0;;;missing_spatial_fields;relegated;NES;;1822;1822;;;;False;
161;San Pedro Añañe;;;0;;;missing_spatial_fields;relegated;NES;;1823;1823;;;;False;
