rowID;ref_Label;level;gz_id;fuzzy_score;category_match;saint_match;territories_match;phase_1a_outcome;toponym_match;lugar_label;lugar_partido_generico;lugar_provincia_generica;fine_level_mismatch;GZ_ID;Contexto-Sup1;Contexto-Sup2;ref_Jurisdiccion;Contexto-Sup4;ref_Region;ref_START;ref_END;phase_1b_step
7446;Guaycoma;Curato;8000154;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Huaycoma;Chayanta;Potosi;;;;Guarycoma;Chayanta;;CHA;1777;1777;
7447;Micani;Curato;8000151;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Micani;Chayanta;Potosi;;;;Micani;Chayanta;;CHA;1777;1777;
7448;Acacio;Curato;8000149;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Acasio;Chayanta;Potosi;;;;Acacio;Chayanta;;CHA;1777;1777;
7449;Aymaya;Curato;8000147;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Aimaya;Chayanta;Potosi;;;;Aymaya;Chayanta;;CHA;1777;1777;
7450;Panacachi;Curato;8000160;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Panacachi;Chayanta;Potosi;;;;Panacachi;Chayanta;;CHA;1777;1777;
7451;Pocoata;Curato;8000161;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Pocoata;Chayanta;Potosi;;;;Pocoata;Chayanta;;CHA;1777;1777;
7452;Macha;Curato;8000158;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Macha;Chayanta;Potosi;;;;Macha;Chayanta;;CHA;1777;1777;
7453;Carazi;Curato;8000153;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Carasi;Chayanta;Potosi;;;;Caxazi;Chayanta;;CHA;1777;1777;
7454;Moscari;Curato;8000159;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Moscari;Chayanta;Potosi;;;;Moscari;Chayanta;;CHA;1777;1777;
7455;Aullagas;Curato;8000157;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Aullagas;Chayanta;Potosi;;;;Aullagas;Chayanta;;CHA;1777;1777;
7456;Sacaca;Curato;8000148;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;exact;Sacaca;Chayanta;Potosi;;;;Sacaca;Chayanta;;CHA;1777;1777;
7457;San Ildefonso de Paria;Curato;8000049;1.0;category_null;saint_match;region_exact;adopted_candidate;toponym_nombre;Paria;Oruro;Charcas;;;;San Ildefonso de Paria;Paria;;CHA;1777;1777;no_partido_jurisdiccion
7458;Caracollo;Curato;9900187;0.8;category_null;no_saint;jurisdiccion_exact;adopted_relegated;none;Caracollo;Sicasica;La Paz;;;;Caracollo;Paria;;CHA;1777;1777;
7459;Soracora;Curato;8000282;875;category_null;no_saint;region_exact;adopted_candidate;fuzzy;Sorasora;Oruro;Charcas;;;;Soracoxa;Paria;;CHA;1777;1777;no_partido_jurisdiccion
7460;Condocondo;Curato;8000055;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Condocondo;Paria;Charcas;;;;Condocondo;Paria;;CHA;1777;1777;
7461;Challapata;Curato;8000056;1.0;category_null;no_saint;jurisdiccion_exact;auto_adopt;toponym_nombre;Challapata;Paria;Charcas;;;;Challapata;Paria;;CHA;1777;1777;
7462;Coroma;Curato;8000173;1.0;category_null;no_saint;region_exact;adopted_candidate;toponym_nombre;Coroma;Porco;Potosi;;;;Coxoma;Paria;;CHA;1777;1777;no_partido_jurisdiccion
