rowID;ref_START;ref_END;Type;ref_Label;Location2;Location3;Location4;ref_Partido;ref_Obispado;ref_Audiencia;Country;Motive;Details;Source;Unnamed: 13;OBJECTID;ID_0;ISO;NAME_0;ID_1;NAME_1;ID_2;NAME_2;ID_3;NAME_3
85;1771;1771;Rebellion or revolt;Contumza;;;;Cajamarca;;;;against priest;;O'Phelan, p. 286;;597;178;PER;Peru;6;Cajamarca;58;Contumazá;597;Contumaza
86;1771;1771;Rebellion or revolt;Quiquijana;;;;Quipicanchis;;;;by Indians;homicide of corregidor's tax collector as a result of their reparto indetedness;O'Phelan, p. 286;;778;178;PER;Peru;8;Cusco;79;Quispicanchi;778;Quiquijana
87;1771;1771;Rebellion or revolt;Chipao;;;;Lucanas;;;;land dispute btw the cacique and Indians;;O'Phelan, p. 286;;482;178;PER;Peru;5;Ayacucho;48;Lucanas;482;Chipao
88;1771;1771;Rebellion or revolt;Sodongo;;;;;Huamanga;;;;;O'Phelan, p. 286;;;;;;;;;;;
89;1772;1772;Rebellion or revolt;Contumaza;;;;Cajamarca;;;;against juez de comision;;O'Phelan, p. 286;;597;178;PER;Peru;6;Cajamarca;58;Contumazá;597;Contumaza
90;1772;1772;Rebellion or revolt;Quechualla;;;;Arequipa;;;;against corregidor;;O'Phelan, p. 286;;434;178;PER;Peru;4;Arequipa;42;La Unión;434;Quechualla
91;1773;1773;Rebellion or revolt;Celendin;;;;Cajamarca;;;;against corregidor;involved creoles and mestizos in reparto;O'Phelan, p. 286;;565;178;PER;Peru;6;Cajamarca;56;Celendín;565;Celendin
92;1773;1773;Rebellion or revolt;Santiago de Chuco;;;;Huamachuco;;;;by mestizos;against corregidor;O'Phelan, p. 286;;1187;178;PER;Peru;13;La Libertad;122;Santiago de Chuco;1187;Santiago de Chuco
93;1774;1774;Rebellion or revolt;Huari;;;;Conchucos;;;;against corregidor's lieutenant;;O'Phelan, p. 286;;156;178;PER;Peru;2;Ancash;17;Huari;156;Huari
94;1774;1774;Rebellion or revolt;Chota;;;;Guambos;;;;against corregidor;;O'Phelan, p. 286;;583;178;PER;Peru;6;Cajamarca;57;Chota;583;Chota
95;1774;1774;Rebellion or revolt;Chumbivilcas;;;;;Cuzco;;;homicide of Spaniard;he imprisoned local cacique;O'Phelan, p. 286;;725;178;PER;Peru;8;Cusco;73;Chumbivilcas;725;Santo Tomas
96;1774;1774;Rebellion or revolt;Cacamarca;;;;Vilcashuaman;;;;against obraje administration;;O'Phelan, p. 286;;548;178;PER;Peru;5;Ayacucho;53;Vilcas Huamán;548;Vischongo
97;1774;1774;Rebellion or revolt;Huaylas;;;;;Lima;;;homicide of alguacil;;O'Phelan, p. 286;;173;178;PER;Peru;2;Ancash;19;Huaylas;173;Huaylas
98;1774;1774;Rebellion or revolt;Condo Condo;;;;Paria;;;;by Indians;homicide of cacique and his brother as reprisal for the murder of an indio tributario;O'Phelan, p. 286;;;;;;;;;;;
99;1775;1775;Rebellion or revolt;Santiago de Huamachuco;;;;;Trujillo;;;by Indians;against corregidor due to piara de mulas;O'Phelan, p. 286;;1176;178;PER;Peru;13;La Libertad;121;Sánchez Carrión;1176;Huamachuco
100;1775;1775;Rebellion or revolt;Cochabamba;;;;;La Plata;;Bolivia;against establishment of local custom house;;O'Phelan, p. 286;;;;;;;;;;;
101;1775;1775;Rebellion or revolt;Viraco;;;;;;Lima;;by Indians;against tax collector, reparto;O'Phelan, p. 286;;394;178;PER;Peru;4;Arequipa;38;Castilla;394;Viraco
102;1775;1775;Rebellion or revolt;Achoma;;;;Caylloma;;;;by Indians;against corregidor, tax collections;O'Phelan, p. 286;;395;178;PER;Peru;4;Arequipa;39;Caylloma;395;Achoma
103;1776;1776;Rebellion or revolt;Huamalies;;;;;Lima;;;against corregidor;corregidor dead, obraje burnt;O'Phelan, p. 286;;812;178;PER;Peru;9;Huánuco;84;Huamalíes;812;Llata
104;1777;1777;Rebellion or revolt;Maras;;;;Urubamba;;;;against corregidor;;O'Phelan, p. 286;;783;178;PER;Peru;8;Cusco;80;Urubamba;783;Maras
105;1777;1777;Rebellion or revolt;La Paz;;;;;La Paz;;Bolivia;against alcabalas;;O'Phelan, p. 286;;;;;;;;;;;
106;1777;1777;Rebellion or revolt;Velille;;;;Chumbivilcas;;;;by Indians;against reparto, homicide of corregidor;O'Phelan, p. 286;;726;178;PER;Peru;8;Cusco;73;Chumbivilcas;726;Velille
107;1779;1779;Rebellion or revolt;Yungay;;;;;;Lima;;by Indians;attack of receptor de alcabalas;O'Phelan, p. 286;;249;178;PER;Peru;2;Ancash;27;Yungay;249;Yungay
108;1779;1779;Rebellion or revolt;Huaraz;;;;;Lima;;;against revisita;;O'Phelan, p. 286;;140;178;PER;Peru;2;Ancash;16;Huaraz;140;Huaraz
109;1780;1780;Rebellion or revolt;Arequipa;;;;;Arequipa;;;against Aduana;;O'Phelan, p. 286;;331;178;PER;Peru;4;Arequipa;35;Arequipa;331;Arequipa
110;1780;1780;Rebellion or revolt;Caylloma;;;;;Arequipa;;;against revisita and alcabala;;O'Phelan, p. 286;;398;178;PER;Peru;4;Arequipa;39;Caylloma;398;Caylloma
111;1780;1780;Rebellion or revolt;Moquegua;;;;;Arequipa;;;against revista;;O'Phelan, p. 286;;1480;178;PER;Peru;19;Moquegua;149;Mariscal Nieto;1480;Moquegua
112;1780;1780;Rebellion or revolt;Yungay;;;;;;Lima;;against alcabala and registration;;O'Phelan, p. 286;;249;178;PER;Peru;2;Ancash;27;Yungay;249;Yungay
113;1780;1780;Rebellion or revolt;Caraz;;;;;Lima;;;;;O'Phelan, p. 286;;170;178;PER;Peru;2;Ancash;19;Huaylas;170;Caraz
114;1780;1780;Rebellion or revolt;Huaraz;;;;;Lima;;;against alcabala, revisita;;O'Phelan, p. 286;;140;178;PER;Peru;2;Ancash;16;Huaraz;140;Huaraz
115;1780;1780;Rebellion or revolt;Pasco;;;;;Lima;;;against administrador de alcabalas;;O'Phelan, p. 286;;1499;178;PER;Peru;20;Pasco;152;Pasco;1499;Chaupimarca
116;1780;1780;Rebellion or revolt;La Paz;;;;;La Paz;;Bolivia;against Aduana;;O'Phelan, p. 286;;;;;;;;;;;
117;1780;1780;Rebellion or revolt;Chongos;;;;Jauja;;;;against cajero;;O'Phelan, p. 286;;1171;178;PER;Peru;13;La Libertad;120;Pataz;1171;Tayabamba
118;1780;1780;Rebellion or revolt;Mito;;;;Jauja;;;;;;O'Phelan, p. 286;;1022;178;PER;Peru;12;Junin;106;Concepcion;1022;Mito
119;1780;1780;Rebellion or revolt;Chayanta;;;;;La Plata;;Bolivia;against corregidor;;O'Phelan, p. 286;;;;;;;;;;;
