TYPE;ref_Label;Partido;Column3;ref_Jurisdiccion;rowID;ref_START;ref_END
Hacienda;Buena Vista;Nativitas;;Tlaxcala;205;1111;9999
Hacienda;San Juan;Nativitas;;Tlaxcala;206;1111;9999
Hacienda;Los Reyes;Nativitas;;Tlaxcala;207;1111;9999
Hacienda;Santa Águeda;Nativitas;;Tlaxcala;208;1111;9999
Hacienda;Los Dolores;Nativitas;;Tlaxcala;209;1111;9999
Hacienda;Santa Ana;Nativitas;;Tlaxcala;210;1111;9999
Hacienda;Santa Bárbara;Nativitas;;Tlaxcala;211;1111;9999
Hacienda;San Antonio;Nativitas;;Tlaxcala;212;1111;9999
Hacienda;San Rafael;Nativitas;;Tlaxcala;213;1111;9999
Hacienda;El Rosario;Nativitas;;Tlaxcala;214;1111;9999
Hacienda;San Juan Mixco;Nativitas;;Tlaxcala;215;1111;9999
Hacienda;Santa Elena;Nativitas;;Tlaxcala;216;1111;9999
Rancho;Ocotlan;Tlaxcala;;Tlaxcala;217;1111;9999
Rancho;San Bernardo Sitlaltepeque;Huamantla;;Tlaxcala;218;1111;9999
Rancho y casas;El Pilancón;Huamantla;;Tlaxcala;219;1111;9999
Rancho;San Antonio Acopilco;Huamantla;;Tlaxcala;220;1111;9999
Rancho;San Diego Cuapiaxtla;Huamantla;;Tlaxcala;221;1111;9999
Rancho;San Antonio Tlaxcantenco;Huamantla;;Tlaxcala;222;1111;9999
Rancho;San Pedro;Huamantla;;Tlaxcala;223;1111;9999
Rancho;Las Ánimas;Huamantla;;Tlaxcala;224;1111;9999
Rancho;Santa Clara;Huamantla;;Tlaxcala;225;1111;9999
Rancho;Atenco;Apizaco;;Tlaxcala;226;1111;9999
Rancho;Tenexaque;Apizaco;;Tlaxcala;227;1111;9999
Rancho;La Mancera;Apizaco;;Tlaxcala;228;1111;9999
Rancho;Barranca Seca;Apizaco;;Tlaxcala;229;1111;9999
Rancho;Totolcuesco;Apizaco;;Tlaxcala;230;1111;9999
Rancho;Atlixtaca;Apizaco;;Tlaxcala;231;1111;9999
Rancho;San Jacinto Aticpaque;Apizaco;;Tlaxcala;232;1111;9999
Rancho;Gucicalco;Apizaco;;Tlaxcala;233;1111;9999
Rancho;Cobalonga;Apizaco;;Tlaxcala;234;1111;9999
Rancho;Atecosco;Apizaco;;Tlaxcala;235;1111;9999
Rancho;Quichaque;Apizaco;;Tlaxcala;236;1111;9999
Rancho;X.l...npusco;Apizaco;;Tlaxcala;237;1111;9999
Rancho;San Miguel Atescacinco;Apizaco;;Tlaxcala;238;1111;9999
Rancho;San Pedro Zotoluca;Apizaco;;Tlaxcala;239;1111;9999
Rancho;San Antonio Acopinalco;Apizaco;;Tlaxcala;240;1111;9999
Rancho;San Buenaventura;Apizaco;;Tlaxcala;241;1111;9999
Rancho;Huexotitlan;Apizaco;;Tlaxcala;242;1111;9999
Rancho;San Bartolomé;Apizaco;;Tlaxcala;243;1111;9999
Rancho;Zacapexco;Apizaco;;Tlaxcala;244;1111;9999
Rancho;Socaque;Apizaco;;Tlaxcala;245;1111;9999
Rancho;Tepezalam;Apizaco;;Tlaxcala;246;1111;9999
Rancho;Zotoluca;Tlaxco;;Tlaxcala;247;1111;9999
Rancho;Toltecapa;Tlaxco;;Tlaxcala;248;1111;9999
Molino;La  Palma;Tlaxco;;Tlaxcala;249;1111;9999
Rancho;Toloquilla;Tlaxco;;Tlaxcala;250;1111;9999
Rancho;Tlacotla;Tlaxco;;Tlaxcala;251;1111;9999
Rancho;Tecamacal;Tlaxco;;Tlaxcala;252;1111;9999
Rancho;San José;San Felipe;;Tlaxcala;253;1111;9999
Rancho;La Puerta;San Felipe;;Tlaxcala;254;1111;9999
Rancho;El Carmen;San Felipe;;Tlaxcala;255;1111;9999
Rancho;Zoltepeque;San Felipe;;Tlaxcala;256;1111;9999
Rancho;Caballero;San Felipe;;Tlaxcala;257;1111;9999
Rancho;Guizye;San Felipe;;Tlaxcala;258;1111;9999
Rancho;San Lorenzo;San Felipe;;Tlaxcala;259;1111;9999
Rancho;Santa Cruz;San Felipe;;Tlaxcala;260;1111;9999
Rancho;San Miguel;San Felipe;;Tlaxcala;261;1111;9999
Rancho;Mixtec;San Felipe;;Tlaxcala;262;1111;9999
Rancho;Atotonilco;San Felipe;;Tlaxcala;263;1111;9999
Rancho;Capula;San Felipe;;Tlaxcala;264;1111;9999
Rancho;Alporonga;San Felipe;;Tlaxcala;265;1111;9999
Rancho;Santo Tomás;San Felipe;;Tlaxcala;266;1111;9999
Rancho;Tepepan;Nativitas;;Tlaxcala;267;1111;9999
Rancho;Los Cinco Señores;Nativitas;;Tlaxcala;268;1111;9999
Rancho;Valbarcera;Nativitas;;Tlaxcala;269;1111;9999
Rancho;San Damián;Nativitas;;Tlaxcala;270;1111;9999
Venta;Buena Vista;;;Tlaxcala;271;1111;9999
Venta;San Antonio;;;Tlaxcala;272;1111;9999
Venta;Tenexaque;;;Tlaxcala;273;1111;9999
Venta;Capula;;;Tlaxcala;274;1111;9999
Molino;Santa María de la Defensa;;;Tlaxcala;275;1111;9999
