TYPE;NAME;Partido;Column3;Jurisdiccion
Hacienda;Los Dolores;Nativitas;;Tlaxcala
Hacienda;Santa Ana;Nativitas;;Tlaxcala
Hacienda;Santa Bárbara;Nativitas;;Tlaxcala
Hacienda;San Antonio;Nativitas;;Tlaxcala
Hacienda;San Rafael;Nativitas;;Tlaxcala
Hacienda;El Rosario;Nativitas;;Tlaxcala
Hacienda;San Juan Mixco;Nativitas;;Tlaxcala
Hacienda;Santa Elena;Nativitas;;Tlaxcala
Rancho;Ocotlan;Tlaxcala;;Tlaxcala
Rancho;San Bernardo Sitlaltepeque;Huamantla;;Tlaxcala
Rancho y casas;El Pilancón;Huamantla;;Tlaxcala
Rancho;San Antonio Acopilco;Huamantla;;Tlaxcala
Rancho;San Diego Cuapiaxtla;Huamantla;;Tlaxcala
Rancho;San Antonio Tlaxcantenco;Huamantla;;Tlaxcala
Rancho;San Pedro;Huamantla;;Tlaxcala
Rancho;Las Ánimas;Huamantla;;Tlaxcala
Rancho;Santa Clara;Huamantla;;Tlaxcala
Rancho;Atenco;Apizaco;;Tlaxcala
Rancho;Tenexaque;Apizaco;;Tlaxcala
Rancho;La Mancera;Apizaco;;Tlaxcala
Rancho;Barranca Seca;Apizaco;;Tlaxcala
Rancho;Totolcuesco;Apizaco;;Tlaxcala
Rancho;Atlixtaca;Apizaco;;Tlaxcala
Rancho;San Jacinto Aticpaque;Apizaco;;Tlaxcala
Rancho;Gucicalco;Apizaco;;Tlaxcala
Rancho;Cobalonga;Apizaco;;Tlaxcala
Rancho;Atecosco;Apizaco;;Tlaxcala
Rancho;Quichaque;Apizaco;;Tlaxcala
Rancho;X.l...npusco;Apizaco;;Tlaxcala
Rancho;San Miguel Atescacinco;Apizaco;;Tlaxcala
Rancho;San Pedro Zotoluca;Apizaco;;Tlaxcala
Rancho;San Antonio Acopinalco;Apizaco;;Tlaxcala
Rancho;San Buenaventura;Apizaco;;Tlaxcala
