rowID;Region;ref_Region;ref_Jurisdiccion;ref_Obispado;Subregion.Oaxaca.;ref_Label;ref_START;Source;AGN_Type;AGN_ID;ref_END;ref_Pais;ref_Adm1
121;State of Oaxaca ;NES;;;Valley of Oaxaca;Zimatlan;1740;AGN Tierras 1460 exp. 7;Tierras;1460;1740;MEX;Oaxaca
122;State of Oaxaca ;NES;;;Valley of Oaxaca;Zimatlan;1773;AGN Criminal 306 exp. 5;Criminal;306;1773;MEX;Oaxaca
123;State of Oaxaca ;NES;;;Valley of Oaxaca;Zimatlan;1774;AGI Audiencia de Mexico 2588 ;;;1774;MEX;Oaxaca
124;State of Oaxaca ;NES;;;Valley of Oaxaca;San Antonio de la Cal;1730;AGN Tierras 2259 exp. 4;Tierras;2259;1730;MEX;Oaxaca
125;State of Oaxaca ;NES;;;Valley of Oaxaca;San Antonio de la Cal;1754;AGN Tierras 2386 exp. 1;Tierras;2386;1754;MEX;Oaxaca
126;State of Oaxaca ;NES;;;Valley of Oaxaca;Teotitlan del Valle;1792;AGN Epidemias 15;Epidemias;15;1792;MEX;Oaxaca
127;State of Oaxaca ;NES;;;Valley of Oaxaca;Teotitlan del Valle;1793;AGN Indios 101 exp. 8 ;Indios;101;1793;MEX;Oaxaca
128;State of Oaxaca ;NES;;;Valley of Oaxaca;Santa Lucia;1717;AGN Criminal 283 exp. 3 ;Criminal;283;1717;MEX;Oaxaca
129;State of Oaxaca ;NES;;;Valley of Oaxaca;Various towns;1784;AGI Audiencia de Mexico 2588 ;;;1784;MEX;Oaxaca
130;State of Oaxaca ;NES;;;Valley of Oaxaca;Abasolo;1800;AEO Juzgados 1800 ;;;1800;MEX;Oaxaca
131;State of Oaxaca ;NES;;;Valley of Oaxaca;Tlalixtac;1804;AEO Juzgados 1804;;;1804;MEX;Oaxaca
132;State of Oaxaca ;NES;;;Valley of Oaxaca;Trinidad de la Huertas;1808;AEO Juzgados 1808 ;;;1808;MEX;Oaxaca
133;State of Oaxaca ;NES;;;Valley of Oaxaca;Macuilx6chitl;1757;CCC Hacienda Buenavista papers ;;;1757;MEX;Oaxaca
134;State of Oaxaca ;NES;;;Valley of Oaxaca;Tlapacoya;1785;AGI Audiencia de Mexico 2588;;;1785;MEX;Oaxaca
135;State of Oaxaca ;NES;;;Valley of Oaxaca;Lachixijo;1804;AEO Juzgados 1804 ;;;1804;MEX;Oaxaca
136;State of Oaxaca ;NES;;;Valley of Oaxaca;San Pablo, district of Cuatro Villas;1689;AGN Indios 30 exp. 244 ;Indios;30;1689;MEX;Oaxaca
137;State of Oaxaca ;NES;;;Valley of Oaxaca;Ayoquesco;1742;AGN Indios 55 exp. 91;Indios;55;1742;MEX;Oaxaca
138;State of Oaxaca ;NES;;;Mixteca Alta (1629-1823) ;Achiutla;1629;CDCh roll 6, exp. 209;;;1629;MEX;Oaxaca
139;State of Oaxaca ;NES;;;Mixteca Alta (1629-1823) ;Petalcingo;1631;CDCh roll 6, exp. 227;;;1631;MEX;Oaxaca
140;State of Oaxaca ;NES;;;Mixteca Alta (1629-1823) ;Sujeto of Teposcolula;1639;CDCh roll 8, exp. 286;;;1639;MEX;Oaxaca
141;State of Oaxaca ;NES;;;Mixteca Alta (1629-1823) ;Xinastla;1680;CDCh roll 8, exp. 475;;;1680;MEX;Oaxaca
