id_i;ref_START;ref_END;Type;ref_Label;Territory;Location2;Location3;Location4;ref_Jurisdiccion;Region;Country;NAME_2;Motive;Details;Source;Unnamed: 16;OBJECTID;ID_0;ISO;NAME_0;ID_1;NAME_1;ID_2;Unnamed: 24;ID_3;NAME_3;rowID
69;1770;1770;Rebellion or revolt;Checacupe;;;;;Tinta;PER;;Canchis;by Indians;set fire of corregidor's home;O'Phelan, p. 286;;711;178;PER;Peru;8;Cusco;72;;711;Checacupe;77
70;1770;1770;Rebellion or revolt;Sicasica;;;;;;CHA;Bolivia;;by Indians;killed a lieutenant ;O'Phelan, p. 286;;;;;;;;;;;;78
71;1770;1770;Rebellion or revolt;Caylloma;;;;;;PER;;Caylloma;by Indians;against corregidor, and reparto;O'Phelan, p. 286;;398;178;PER;Peru;4;Arequipa;39;;398;Caylloma;79
72;1771;1771;Rebellion or revolt;Chulimani;;;;;Sicasica;CHA;Bolivia;;by Indians;against corregidor;O'Phelan, p. 286;;;;;;;;;;;;80
73;1771;1771;Rebellion or revolt;Pacajes;;;;;;CHA;Bolivia;;by Indians;homicide of corregidor;O'Phelan, p. 286;;;;;;;;;;;;81
74;1771;1771;Rebellion or revolt;Santiago de Cao;;;;;Trujillo;PER;;Ascope;against Indio alcalde ;he blocked access to local riegos;O'Phelan, p. 286;;1127;178;PER;Peru;13;La Libertad;113;;1127;Santiago de Cao;82
75;1771;1771;Rebellion or revolt;Cocharcas;;;;;Andahuaylas;PER;;Chincheros;by priest;against corregidor;O'Phelan, p. 286;;304;178;PER;Peru;3;Apurímac;32;;304;Cocharcas;83
76;1771;1771;Rebellion or revolt;Morrope;;;;;Sana;PER;;Lambayeque;conflict btw caciques ;;O'Phelan, p. 286;;1229;178;PER;Peru;14;Lambayeque;127;;1229;Morrope;84
77;1771;1771;Rebellion or revolt;Contumza;;;;;Cajamarca;PER;;Contumazá;against priest;;O'Phelan, p. 286;;597;178;PER;Peru;6;Cajamarca;58;;597;Contumaza;85
78;1771;1771;Rebellion or revolt;Quiquijana;;;;;Quipicanchis;PER;;Quispicanchi;by Indians;homicide of corregidor's tax collector as a result of their reparto indetedness;O'Phelan, p. 286;;778;178;PER;Peru;8;Cusco;79;;778;Quiquijana;86
79;1771;1771;Rebellion or revolt;Chipao;;;;;Lucanas;PER;;Lucanas;land dispute btw the cacique and Indians;;O'Phelan, p. 286;;482;178;PER;Peru;5;Ayacucho;48;;482;Chipao;87
79;1771;1771;Rebellion or revolt;Sodongo;;;;;Lucanas;PER;;;;;O'Phelan, p. 286;;;;;;;;;;;;88
80;1772;1772;Rebellion or revolt;Contumaza;;;;;Cajamarca;PER;;Contumazá;against juez de comision;;O'Phelan, p. 286;;597;178;PER;Peru;6;Cajamarca;58;;597;Contumaza;89
81;1772;1772;Rebellion or revolt;Quechualla;;;;;Arequipa;PER;;La Unión;against corregidor;;O'Phelan, p. 286;;434;178;PER;Peru;4;Arequipa;42;;434;Quechualla;90
82;1773;1773;Rebellion or revolt;Celendin;;;;;Cajamarca;PER;;Celendín;against corregidor;involved creoles and mestizos in reparto;O'Phelan, p. 286;;565;178;PER;Peru;6;Cajamarca;56;;565;Celendin;91
83;1773;1773;Rebellion or revolt;Santiago de Chuco;;;;;Huamachuco;PER;;Santiago de Chuco;by mestizos;against corregidor;O'Phelan, p. 286;;1187;178;PER;Peru;13;La Libertad;122;;1187;Santiago de Chuco;92
84;1774;1774;Rebellion or revolt;Huari;;;;;Conchucos;PER;;Huari;against corregidor's lieutenant;;O'Phelan, p. 286;;156;178;PER;Peru;2;Ancash;17;;156;Huari;93
85;1774;1774;Rebellion or revolt;Chota;;;;;Guambos;PER;;Chota;against corregidor;;O'Phelan, p. 286;;583;178;PER;Peru;6;Cajamarca;57;;583;Chota;94
