id_i;1779;END_;Type;Location1;Territory;Location2;Location3;Location4;Province;Region;Country;NAME_2;Motive;Details;Source;;OBJECTID;ID_0;ISO;NAME_0;ID_1;NAME_1;ID_2;;ID_3;NAME_3
90;1775;1775;Rebellion or revolt;Santiago de Huamachuco;;;;;;Peru;;Sánchez Carrión;by Indians;against corregidor due to piara de mulas;O'Phelan, p. 286;;1176;178;PER;Peru;13;La Libertad;121;;1176;Huamachuco
91;1775;1775;Rebellion or revolt;Cochabamba;;;;;;Charcas;Bolivia;;against establishment of local custom house;;O'Phelan, p. 286;;;;;;;;;;;
92;1775;1775;Rebellion or revolt;Viraco;;;;;;Peru;;Castilla;by Indians;against tax collector, reparto;O'Phelan, p. 286;;394;178;PER;Peru;4;Arequipa;38;;394;Viraco
93;1775;1775;Rebellion or revolt;Achoma;;;;;Caylloma;Peru;;Caylloma;by Indians;against corregidor, tax collections;O'Phelan, p. 286;;395;178;PER;Peru;4;Arequipa;39;;395;Achoma
94;1776;1776;Rebellion or revolt;Huamalies;;;;;;Peru;;Huamalíes;against corregidor;corregidor dead, obraje burnt;O'Phelan, p. 286;;812;178;PER;Peru;9;Huánuco;84;;812;Llata
95;1777;1777;Rebellion or revolt;Maras;;;;;Urubamba;Peru;;Urubamba;against corregidor;;O'Phelan, p. 286;;783;178;PER;Peru;8;Cusco;80;;783;Maras
96;1777;1777;Rebellion or revolt;La Paz;;;;;;Charcas;Bolivia;;against alcabalas;;O'Phelan, p. 286;;;;;;;;;;;
97;1777;1777;Rebellion or revolt;Velille;;;;;Chumbivilcas;Peru;;Chumbivilcas;by Indians;against reparto, homicide of corregidor;O'Phelan, p. 286;;726;178;PER;Peru;8;Cusco;73;;726;Velille
98;1779;1779;Rebellion or revolt;Yungay;;;;;;Peru;;Yungay;by Indians;attack of receptor de alcabalas;O'Phelan, p. 286;;249;178;PER;Peru;2;Ancash;27;;249;Yungay
99;1779;1779;Rebellion or revolt;Huaraz;;;;;;Peru;;Huaraz;against revisita;;O'Phelan, p. 286;;140;178;PER;Peru;2;Ancash;16;;140;Huaraz
100;1780;1780;Rebellion or revolt;Arequipa;;;;;;Peru;;Arequipa;against Aduana;;O'Phelan, p. 286;;331;178;PER;Peru;4;Arequipa;35;;331;Arequipa
