ID;gz_id;foreignkey;foreignsite;foreignID;foreignprefix
324;6001326;wd:Q2696440;wd;Q2696440;https://www.wikidata.org/wiki/
326;9900767;wd:Q2640030;wd;Q2640030;https://www.wikidata.org/wiki/
327;9900767;gn:8350671;gn;8350671;https://www.geonames.org/
328;9900767;whg:167583;whg;167583;https://whgazetteer.org/places/
329;9900766;wd:Q1230040;wd;Q1230040;https://www.wikidata.org/wiki/
330;9900766;whg:167582;whg;167582;https://whgazetteer.org/places/
331;9900765;wd:Q3348274;wd;Q3348274;https://www.wikidata.org/wiki/
332;9900765;loc:n85073575;loc;n85073575;https://lccn.loc.gov/
333;9900765;whg:167581;whg;167581;https://whgazetteer.org/places/
334;9900764;whg:167580;whg;167580;https://whgazetteer.org/places/
335;9900763;gn:8581847;gn;8581847;https://www.geonames.org/
336;9900763;gn:3987001;gn;3987001;https://www.geonames.org/
337;9900763;wd:Q1436709;wd;Q1436709;https://www.wikidata.org/wiki/
338;9900763;whg:167579;whg;167579;https://whgazetteer.org/places/
339;9900762;whg:167578;whg;167578;https://whgazetteer.org/places/
340;9900761;whg:167577;whg;167577;https://whgazetteer.org/places/
341;9900760;whg:167576;whg;167576;https://whgazetteer.org/places/
342;9900759;whg:167574;whg;167574;https://whgazetteer.org/places/
343;9900758;whg:167573;whg;167573;https://whgazetteer.org/places/
344;9900757;whg:167572;whg;167572;https://whgazetteer.org/places/
345;9900756;whg:167571;whg;167571;https://whgazetteer.org/places/
346;9900754;whg:167570;whg;167570;https://whgazetteer.org/places/
347;9900753;whg:167569;whg;167569;https://whgazetteer.org/places/
348;9900752;whg:167568;whg;167568;https://whgazetteer.org/places/
349;9900751;wd:Q280142;wd;Q280142;https://www.wikidata.org/wiki/
350;9900751;whg:167567;whg;167567;https://whgazetteer.org/places/
351;9900750;whg:167566;whg;167566;https://whgazetteer.org/places/
352;9900749;whg:167564;whg;167564;https://whgazetteer.org/places/
353;9900748;whg:167563;whg;167563;https://whgazetteer.org/places/
354;9900747;whg:167562;whg;167562;https://whgazetteer.org/places/
355;9900746;whg:167561;whg;167561;https://whgazetteer.org/places/
356;9900745;whg:167560;whg;167560;https://whgazetteer.org/places/
357;9900744;whg:167559;whg;167559;https://whgazetteer.org/places/
358;9900743;whg:167558;whg;167558;https://whgazetteer.org/places/
359;9900742;whg:167557;whg;167557;https://whgazetteer.org/places/
360;9900741;gn:3832456;gn;3832456;https://www.geonames.org/
361;9900741;wd:Q4016103;wd;Q4016103;https://www.wikidata.org/wiki/
362;9900741;whg:167556;whg;167556;https://whgazetteer.org/places/
363;9900740;whg:167555;whg;167555;https://whgazetteer.org/places/
364;9900739;gn:3873861;gn;3873861;https://www.geonames.org/
