OficialID;nombre_id;NOM_entero;Nacimiento_y;Fallecimiento_y;N_date_t;F_date_t;Nombres;particulo;Apellidos;titulo_de_nobleza;religious_order;PlaceOfBirth_Settlement;PlaceOfBirth_GZ_ID;PlaceOfBirth_Province;PlaceOfBirth_Country;Nacimiento_num;PlaceOfDeath_Settlement;PlaceOfDeath_GZ_ID;Fallecimiento_Province;PlaceOfDeath_Country;Fallecimiento_num;Fuente;Nota;flag;status;cargo_primero;cargo_ultimo;NOM_entero_STANDARD;Nombres_standard;Apellidos_standard;Apellidos_min;RANGE_S;RANGE_E;dbe;no_foreignkey;nowiki;tocayos;Nombres_alternative;Apellidos_alternative;N_date;F_date;Nom1;Nom2;Nom3;Part1;Ap1;Part2;Ap2;Part3;Ap3;N1S;N2S;N3S;A1S;A2S;A3S;flag_num;update_flag;FullOficialID
47;pedro_garrido_duran;Pedro Garrido Durán;;;;;Pedro;;Garrido y Durán;;;Alcalá la Real;;Jaén;ESP;;La Coruña;;;ESP;;;;;wsmwikibatch;PRGDSS00;PRGDSS00;Pedro Garrido Duran;Pedro;Garrido  Duran;Garrido  Duran;1727;1839;63406/pedro-garrido-y-duran;;haswiki;;;;;;;;;;;;;;;;;;;;;;;persIndias47
48;enrique_de_grimarest;Enrique de Grimarest;;;;;Enrique;de;Legallois o Le Gallois de Grimarest;;;París;;;FRA;;Cádiz;;;ESP;;;;;wsmwikibatch;PRGDSS00;PRSDPR00;Enrique de Grimarest;Enrique;Grimarest;Grimarest;1729;1843;137155/enrique-legallois-de-grimarest;;haswiki;;;;;;;;;;;;;;;;;;;;;;;persIndias48
49;alonso_tresierra_y_cano;Alonso Tresierra y Cano;;;;;Alonso;;Tresierra y Cano;;;;;;;;;;;;;;;;wsmwikibatch;PRGDSS00;PRGDSS00;Alonso Tresierra y Cano;Alonso;Tresierra y Cano;Tresierra Cano;1733;1846;;;haswiki;;;;;;;;;;;;;;;;;;;;;;;persIndias49
50;alejo_pedro_garcia_y_conde;Alejo Pedro  García y Conde;1751;1826;17.08.1751;18.08.1826;Alejo Pedro;;García y Conde;;;Ceuta;;;ESP;17510802;México;1000001;;MEX;18260828;;;n;wsmwikibatch;PRGDSS00;PRGDDU00;Alejo Pedro  Garcia y Conde;Alejo Pedro;Garcia y Conde;Garcia Conde;1751;1826;74197/alejo-pedro-garcia-y-conde;;haswiki;;;;;;Alejo;;;;García;;Conde;;;Alejo;;;Garcia;Conde;;;;persIndias50
52;jose_naranjo;José Naranjo;;;;;José;;Naranjo;;;;;;;;;;;;;;;;q;JUGDNMZU;JUGDNMZU;Jose Naranjo;Jose;Naranjo;Naranjo;1642;1752;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias52
54;cristobal_arellano;Cristobal Arellano;;;;;Cristobal;;Arellano;;;;;;;;;;;;;;;;q;JUGDNMZU;JUGDNMZU;Cristobal Arellano;Cristobal;Arellano;Arellano;1642;1752;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias54
55;diego_montoya;Diego Montoya;;;;;Diego;;Montoya;;;;;;;;;;;;;;;;q;JUGDNMSA;JUGDNMSA;Diego Montoya;Diego;Montoya;Montoya;1642;1752;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias55
56;matias_madrid;Matias Madrid;;;;;Matias;;Madrid;;;;;;;;;;;;;;;;q;JUGDNMSC;JUGDNMSC;Matias Madrid;Matias;Madrid;Madrid;1642;1753;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias56
57;roque_madrid;Roque Madrid;;;;;Roque;;Madrid;;;;;;;;;;;;;;;;q;JUGDNMSC;JUGDNMSC;Roque Madrid;Roque;Madrid;Madrid;1643;1753;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias57
58;jose_rodriguez;José Rodríguez;;;;;José;;Rodríguez;;;;;;;;;;;;;;;;q;JUGDNMSF;JUGDNMSF;Jose Rodriguez;Jose;Rodriguez;Rodriguez;1643;1753;;yes;;;;;;;;;;;;;;;;;;;;;;;;persIndias58
