ID;gz_id;republica;fuente_ID;start;start_ex;end_;end_ex;check;template;es_parte_de;check1;template1
6650;3000095;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000095]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000095@----;;;
6651;3000096;s.d.;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000096]]@republica: s.d.@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000096@----;;;
6652;3000097;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000097]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000097@----;;;
6653;3000098;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000098]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000098@----;;;
6654;3000100;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000100]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000100@----;;;
6655;3000101;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000101]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000101@----;;;
6656;3000102;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000102]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000102@----;;;
6657;3000103;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000103]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000103@----;;;
6658;3000105;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000105]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000105@----;;;
6659;3000106;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000106]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000106@----;;;
6660;3000107;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000107]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000107@----;;;
6661;3000110;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000110]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000110@----;;;
6662;3000115;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000115]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000115@----;;;
6663;3000116;No;s.d.;1111;start;9999;end;0;---- dataentry cabildo ----@GZ ID_wiki: [[:gazetteer:3000116]]@republica: No@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@Fuente_wiki:  [[:fuentes:s.d.]]@ID:3000116@----;;;
