ID;gz_id;label;nombre;nombrehoy;variantes;santo;fuente_ID;start;start_ex;end_;end_ex;check;template;check1;template1;wikitext1;wikitext2;wikitext
1316;1001403;San Sebastian;San Sebastian;;;San Sebastian;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001403]]@Nombre: San Sebastian@Santo: San Sebastian@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001403@----;;;;;
1317;1001404;San Sebastian y Su Auxiliar Santa Rosa;San Sebastian y Su Auxiliar Santa Rosa;;;San Sebastian;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001404]]@Nombre: San Sebastian y Su Auxiliar Santa Rosa@Santo: San Sebastian@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001404@----;;;;;
1318;1001405;Soriano;Santo Domingo Soriano;Colon;;Santo Domingo;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001405]]@Nombre: Santo Domingo Soriano@Santo: Santo Domingo@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001405@----;;;;;
1319;1001406;Tequisquiapan;Asuncion Tequisquiapan Tequisquiapan;;;Asuncion;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001406]]@Nombre: Asuncion Tequisquiapan Tequisquiapan@Santo: Asuncion@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001406@----;;;;;
1320;1001407;San Pablo Toliman;San Pablo Toliman;;;San Pablo;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001407]]@Nombre: San Pablo Toliman@Santo: San Pablo Toliman@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001407@----;;;;;
1321;1001408;San Miguel Toliman;San Miguel Toliman;;;San Miguel;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001408]]@Nombre: San Miguel Toliman@Santo: San Miguel Toliman@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001408@----;;;;;
1322;1001409;San Pedro Toliman;San Pedro Toliman;;;San Pedro;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001409]]@Nombre: San Pedro Toliman@Santo: San Pedro Toliman@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001409@----;;;;;
1323;1001410;Tolimanejo;San Francisco Tolimanejo;;;San Francisco;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001410]]@Nombre: San Francisco Tolimanejo@Santo: San Francisco@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001410@----;;;;;
1324;1001412;Acahuacatongo;San Andres Acahuacatongo;;;San Andres;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001412]]@Nombre: San Andres Acahuacatongo@Santo: San Andres@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001412@----;;;;;
1325;1001413;Atepehuacan;San Bartolome Atepehuacan;;;San Bartolome;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001413]]@Nombre: San Bartolome Atepehuacan@Santo: San Bartolome@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001413@----;;;;;
1326;1001414;Atizapan;San Francisco Atizapan;;;San Francisco;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001414]]@Nombre: San Francisco Atizapan@Santo: San Francisco@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001414@----;;;;;
1327;1001415;Atzcaputzaltongo;San Pedro Atzcaputzaltongo;Nicolas Romero;Escapuzalco @ Excapusaltongo;San Pedro;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001415]]@Nombre: San Pedro Atzcaputzaltongo@Santo: San Pedro@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001415@----;;;;;
1328;1001416;Ayotuzco;San Francisco Ayotuzco;;;San Francisco;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001416]]@Nombre: San Francisco Ayotuzco@Santo: San Francisco@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001416@----;;;;;
1329;1001417;Ayucan;San Luis Ayucan;;;San Luis;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001417]]@Nombre: San Luis Ayucan@Santo: San Luis@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001417@----;;;;;
1330;1001418;Azcapotzalco;Santiago y San Felipe Azcapotzalco;;Escapusalco @;Santiago y San Felipe;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001418]]@Nombre: Santiago y San Felipe Azcapotzalco@Santo: Santiago y San Felipe@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001418@----;;;;;
1331;1001419;Cahuacan;Magdalena Cahuacan;;;Magdalena;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001419]]@Nombre: Magdalena Cahuacan@Santo: Magdalena@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001419@----;;;;;
1332;1001420;Chapultepec;Chapultepec;;;;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001420]]@Nombre: Chapultepec@Santo: @Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001420@----;;;;;
1333;1001421;Chilpan;San Francisco Chilpan;;;San Francisco;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001421]]@Nombre: San Francisco Chilpan@Santo: San Francisco@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001421@----;;;;;
1334;1001422;Chimalpa;San Francisco Chimalpa;;;San Francisco;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001422]]@Nombre: San Francisco Chimalpa@Santo: San Francisco@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001422@----;;;;;
1335;1001423;Coalacoaya;Santa Maria Coalacoaya;;;Santa Maria;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001423]]@Nombre: Santa Maria Coalacoaya@Santo: Santa Maria@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001423@----;;;;;
1336;1001424;Coatepec;San Bartolome Coatepec;;;San Bartolome;tanck;1111;start;9999;end;;---- dataentry nombre ----@GZ ID_wiki: [[:gazetteer:1001424]]@Nombre: San Bartolome Coatepec@Santo: San Bartolome@Desde: 1111@Hasta: 9999@Desdefuzzy: start@Hastafuzzy: end@ID:1001424@----;;;;;
