Entidad;Nombre;Variantes;tipo;Provincia_generica;Reg;WikiID;Redirect;Entidad_alternate;START;END_;Numero_corriente;GCath;CathHierarchy;viaf;Region;Nivel_default;Comentario;Lat_Capital;Lon_Capital
PTGDDUPJ;Junta de los Rios;Junta de los Rios @;Partido;Durango;GDJ;junta_de_los_rios_partido_gdj;~~REDIRECT>junta_de_los_rios_partido_gdj~~;GDDUPJPT;1111;1808;1174;;;;Nueva Galicia y Septentrion;Partido;;29.56231;-104.4123
PTGDDUPR;Principe;Principe @ Presidio Principe @ El Principe @ Coyame;Partido;Durango;GDJ;principe_partido_gdj;~~REDIRECT>principe_partido_gdj~~;GDDUPRPT;1774;1808;1175;;;;Nueva Galicia y Septentrion;Partido;;30.41869;-104.86107
PTGDDUPS;Parras;Parras @ Valle de Pirineos @ Parras, Lagunas y Rio de Nazas;Partido;Durango;GDJ;parras_partido_gdj;~~REDIRECT>parras_partido_gdj~~;GDDUPSPT;1578;1808;1176;;;;Nueva Galicia y Septentrion;Partido;;25.44028;-102.1825
PTGDDURF;Rio Florido;Rio Florido @;Partido;Durango;GDJ;rio_florido_partido_gdj;~~REDIRECT>rio_florido_partido_gdj~~;GDDURFPT;1111;1766;3;;;;Nueva Galicia y Septentrion;Partido;;25.96556;-105.19
PTGDDURN;Rio Nazas;Rio Nazas @;Partido;Durango;GDJ;rio_nazas_partido_gdj;~~REDIRECT>rio_nazas_partido_gdj~~;GDDURNPT;1111;1808;1177;;;;Nueva Galicia y Septentrion;Partido;;26.44028;-105.50528
PTGDDUSE;Santa Eulalia;Santa Eulalia @;Partido;Durango;GDJ;santa_eulalia_partido_gdj;~~REDIRECT>santa_eulalia_partido_gdj~~;GDDUSEPT;1718;1792;1178;;;;Nueva Galicia y Septentrion;Partido;;28.5939;-105.88885
PTGDDUSM;San Miguel de Bocas;San Miguel de Bocas @ San Miguel de Bocas y Rio Florido;Partido;Durango;GDJ;san_miguel_de_bocas_partido_gdj;~~REDIRECT>san_miguel_de_bocas_partido_gdj~~;GDDUSMPT;1111;1808;1179;;;;Nueva Galicia y Septentrion;Partido;;25.95899;-105.99827
PTGDDUSO;Saltillo;Saltillo @ Valle de Buena Esperanza;Partido;Durango;GDJ;saltillo_partido_gdj;~~REDIRECT>saltillo_partido_gdj~~;GDDUSOPT;1568;1808;1180;;;;Nueva Galicia y Septentrion;Partido;;25.42158;-100.99961
PTGDDUVE;Velarde;Velarde @ Presidio de San Buenaventura;Jurisdiccion;Durango;GDJ;velarde_jurisdiccion_gdj;~~REDIRECT>velarde_jurisdiccion_gdj~~;GDDUVEPT;1774;1808;1181;;;;Nueva Galicia y Septentrion;indefinido;;30.6314;-107.3828
PTGDGDAI;Asientos de Ibarra;Asientos de Ibarra @;Partido;Guadalajara;GDJ;asientos_de_ibarra_partido_gdj;~~REDIRECT>asientos_de_ibarra_partido_gdj~~;GDGDAIPT;1111;1786;1182;;;;Nueva Galicia y Septentrion;Partido;;22.23772;-102.08896
PTGDGDSR;Santa Rosa de Alburquerque;Santa Rosa de Alburquerque @;Partido;Guadalajara;GDJ;santa_rosa_de_alburquerque_partido_gdj;~~REDIRECT>santa_rosa_de_alburquerque_partido_gdj~~;GDGDSRPT;1709;1755;1415;;;;Nueva Galicia y Septentrion;Partido;;21.65588;-103.88118
