gz_id;Entidad_ID;Nivel;tipo;Label;lat;lon;start;START_ex;end_;END_ex;C_START;C_Start_ex;C_END_;C_END_ex;gz_start;gz_end;tipolink;Cabecera;fuente_ID;template
1000000;FRVEGUXX;Fronteras;Fronteras;Guayana;90.0000000001;9.99875737762e-11;1111;start;9999;end;1111;start;9999;end;1111;9999;conceptos:fronteras;[-];desconocida;[[:gazetteer:1000000|[-]]] (1111-9999)
1000000;JCGDGDAT;Jurisdiccion;Corregimiento;Atemaxaque;90.0000000001;9.99875737762e-11;1549;not_after;1599;ca;1111;start;9999;end;1111;9999;conceptos:corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1549-1599)
1000000;JCGDGDCI;Jurisdiccion;Corregimiento;Cihuatlan;90.0000000001;9.99875737762e-11;1534;ca;1599;not_after;1111;start;9999;end;1111;9999;conceptos:corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1534-1599)
1000000;JCGDGDCQ;Jurisdiccion;Corregimiento;Copala y Quilitlan;90.0000000001;9.99875737762e-11;1563;ca;1568;not_after;1111;start;9999;end;1111;9999;conceptos:corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1563-1568)
1000000;JCGDGDCZ;Jurisdiccion;Corregimiento;Camotlan;90.0000000001;9.99875737762e-11;1549;ca;1568;not_after;1111;start;9999;end;1111;9999;conceptos:corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1549-1568)
1000000;JCGDGDES;Jurisdiccion;Corregimiento;Espuchimilco;90.0000000001;9.99875737762e-11;1534;ca;1599;not_after;1111;start;9999;end;1111;9999;conceptos:corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1534-1599)
1000000;JCGDGDMA;Jurisdiccion;Corregimiento;Mascota;90.0000000001;9.99875737762e-11;1571;not_before;1599;ca;1111;start;9999;end;1111;9999;conceptos:corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1571-1599)
1000000;JCGDGDME;Jurisdiccion;Corregimiento;Mezquituta;90.0000000001;9.99875737762e-11;1550;exact;1616;not_before;1111;start;9999;end;1111;9999;conceptos:corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1550-1616)
1000000;JCGDGDMT;Jurisdiccion;Corregimiento;Mochotiltique;90.0000000001;9.99875737762e-11;1550;ca;1569;not_after;1111;start;9999;end;1111;9999;conceptos:corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1550-1569)
1000000;JCGDGDOP;Jurisdiccion;Corregimiento;Opono;90.0000000001;9.99875737762e-11;1566;ca;1599;ca;1111;start;9999;end;1111;9999;conceptos:corregimiento;[-];desconocida;[[:gazetteer:1000000|[-]]] (1566-1599)
