START;END_;Tipo;Label;Nombre;Variantes;Entidad_ID;Nivel
1111;1808;Partido;Rio Nazas;Rio Nazas;Rio Nazas @;PTGDDURN;Partido
1111;1808;Partido;Taxco;Taxco;Taxco @ Taxco;PTNEMXTA;Partido
1111;1808;Partido;Temascaltepec;Temascaltepec;Temascaltepec @;PTNEMXTE;Partido
1111;1808;Partido;Tepexi de la Seda;Tepexi de la Seda;Tepexi de la Seda @;PTNEPUTS;Partido
1111;1808;Partido;Teutila;Teutila;Teutila @ Teutila;PTNEOATL;Partido
1111;1808;Partido;Tlajomulco;Tlajomulco;Tlajomulco @ Tlaxomulco;PTGDGDTL;Partido
1111;1808;Partido;Tlaxcaltecas;Comunidades Tlaxcaltecas;Comunidades Tlaxcaltecas @;JUGDDUTL;Jurisdiccion
1111;1808;Partido;Tlazazalca;Tlazazalca;Tlazazalca @;PTNEMITZ;Partido
1111;1808;Partido;Xalapa;Xalapa;Xalapa @;PTNEVCXA;Partido
1111;1808;Partido;Yumbos;Yumbos;Yumbos @ Cansacoto @ Santo Domingo;PTQUQUYU;Partido
1111;1808;Partido;Zacualpan;Zacualpan;Zacualpan @;PTNEMXZP;Partido
1111;9999;Fronteras;Bocas del Toro;Golfo;Bocas del Toro @;FRMOTABT;Partido
1111;9999;Fronteras;Bopis;Paititi;Bopis @ Bopis y Mosetenes;FRCCLPBO;Partido
1111;9999;Fronteras;Caribana;La Guayana;Caribana @ Cuyuni @ Esequibo;FRVEGUCA;Partido
1111;9999;Fronteras;Chichimeca;Chichimeca;Chichimeca @;FRCMXXXX;Fronteras
1111;9999;Fronteras;Comancheria;Quivira;Comancheria @ Luisiana Alta @ Grandes Llanuras;FRQVLLXX;Partido
1111;9999;Fronteras;Costa mosquita;Golfo;Costa mosquita @;FRMOCMXX;Partido
1111;9999;Fronteras;Golfo;Golfo;Golfo de Honduras @ Ingleses @ Zambos-mosquitos;FRMOXXXX;Fronteras
1111;9999;Fronteras;Guayana;La Guayana;Guayana 'dorada' @;FRVEGUXX;Fronteras
1111;9999;Fronteras;Indefinido;Indefinido;Indefinido @;XXXXXXXX;Fronteras
1111;9999;Fronteras;Isla de California;Isla de California;Isla de California @ New Albion;FRANICXX;Fronteras
1111;9999;Fronteras;Isla de California;Isla de California;Isla de California @ New Albion;FRANICXX;Partido
1111;9999;Fronteras;isla de Vieque;Bucaneros;Vieques @;FRSDPRVI;Fronteras
1111;9999;Fronteras;isla de Vieque;Bucaneros;Vieques @;FRSDPRVI;Partido
