fid;REG;Entidad;tipo;Label;Nombre;START;START_ex;END;END_ex;START_nb;START_na;END_nb;END_na;Agregado;Ent_identica;AbrA;AbrB;Wikilink_id;Wikilink_tipo;Entidad_alt;Wikilink;Wikilink2;Provincia_generica;Fuente;Nombre completo;Nombre_completo_wiki;Cabecera
591;CHA;JUCCCCCC;Corregimiento;Yamparaez;La Plata y Yamparaez;1773;exact;1783;exact;;;;;False;;C;C;chuquisaca_jurisdiccion_cha;conceptos:corregimiento;CCCCCCJU;cha_charcas_chuquisaca;CHA;Charcas;;Corregimiento de Yamparaez;[[:conceptos:corregimiento|Corregimiento]] de Yamparaez;False
592;CHA;JUCCLPCH;Corregimiento;Chulumani;Chulumani;1780;exact;1783;exact;;;;;False;;C;C;chulumani_jurisdiccion_cha;conceptos:corregimiento;CCLPCHJU;cha_la paz_chulumani;CHA;La Paz;;Corregimiento de Chulumani;[[:conceptos:corregimiento|Corregimiento]] de Chulumani;False
593;CHA;JUCCLPCH;Subdelegacion;Yungas;Yungas;1784;exact;1808;hgis;;;;;False;;Sd.;Sd.;chulumani_jurisdiccion_cha;conceptos:subdelegacion;CCLPCHJU;cha_la paz_chulumani;CHA;La Paz;;Subdelegacion de Yungas;[[:conceptos:subdelegacion|Subdelegacion]] de Yungas;False
594;CHA;JUCCLPLA;Corregimiento;Larecaja;Larecaja;1583;not_after;1783;exact;;;;;False;;C;C;larecaja_jurisdiccion_cha;conceptos:corregimiento;CCLPLAJU;cha_la paz_larecaja;CHA;La Paz;;Corregimiento de Larecaja;[[:conceptos:corregimiento|Corregimiento]] de Larecaja;False
595;CHA;JUCCLPLA;Subdelegacion;Larecaja;Larecaja;1784;exact;1808;hgis;;;;;False;;Sd.;Sd.;larecaja_jurisdiccion_cha;conceptos:subdelegacion;CCLPLAJU;cha_la paz_larecaja;CHA;La Paz;;Subdelegacion de Larecaja;[[:conceptos:subdelegacion|Subdelegacion]] de Larecaja;False
598;CHA;JUCCLPOM;Corregimiento;Omasuyos;Omasuyos;1600;arbitrary;1783;exact;;;;;False;;C;C;omasuyos_jurisdiccion_cha;conceptos:corregimiento;CCLPOMJU;cha_la paz_omasuyos;CHA;La Paz;;Corregimiento de Omasuyos;[[:conceptos:corregimiento|Corregimiento]] de Omasuyos;False
599;CHA;JUCCLPOM;Subdelegacion;Omasuyos;Omasuyos;1784;exact;1808;hgis;;;;;False;;Sd.;Sd.;omasuyos_jurisdiccion_cha;conceptos:subdelegacion;CCLPOMJU;cha_la paz_omasuyos;CHA;La Paz;;Subdelegacion de Omasuyos;[[:conceptos:subdelegacion|Subdelegacion]] de Omasuyos;False
600;CHA;JUCCLPPA;Corregimiento;Pacajes;Pacajes;1583;not_after;1783;exact;;;;;False;;C;C;pacajes_jurisdiccion_cha;conceptos:corregimiento;CCLPPAJU;cha_la paz_pacajes;CHA;La Paz;;Corregimiento de Pacajes;[[:conceptos:corregimiento|Corregimiento]] de Pacajes;False
601;CHA;JUCCLPPA;Subdelegacion;Pacajes;Pacajes;1784;exact;1808;hgis;;;;;False;;Sd.;Sd.;pacajes_jurisdiccion_cha;conceptos:subdelegacion;CCLPPAJU;cha_la paz_pacajes;CHA;La Paz;;Subdelegacion de Pacajes;[[:conceptos:subdelegacion|Subdelegacion]] de Pacajes;False
602;CHA;JUCCLPSI;Corregimiento;Sicasica;Sicasica;1600;arbitrary;1783;exact;;;;;False;;C;C;sicasica_jurisdiccion_cha;conceptos:corregimiento;CCLPSIJU;cha_la paz_sicasica;CHA;La Paz;;Corregimiento de Sicasica;[[:conceptos:corregimiento|Corregimiento]] de Sicasica;False
603;CHA;JUCCLPSI;Subdelegacion;Sicasica;Sicasica;1784;exact;1808;hgis;;;;;False;;Sd.;Sd.;sicasica_jurisdiccion_cha;conceptos:subdelegacion;CCLPSIJU;cha_la paz_sicasica;CHA;La Paz;;Subdelegacion de Sicasica;[[:conceptos:subdelegacion|Subdelegacion]] de Sicasica;False
604;CHA;JUCCPOCH;Subdelegacion;Chichas;Chichas;1785;exact;1808;hgis;;;;;False;;Sd.;Sd.;chichas_jurisdiccion_cha;conceptos:subdelegacion;CCPOCHJU;cha_potosi_chichas;CHA;Potosi;;Subdelegacion de Chichas;[[:conceptos:subdelegacion|Subdelegacion]] de Chichas;False
606;CHA;JUCCPOTA;Subdelegacion;Tarija;Chichas y Tarija;1784;exact;1784;exact;;;;;False;;Sd.;Sd.;tarija_jurisdiccion_cha;conceptos:subdelegacion;CCPOTAJU;cha_potosi_tarija;CHA;Potosi;;Subdelegacion de Tarija;[[:conceptos:subdelegacion|Subdelegacion]] de Tarija;False
607;CHA;JUCCPOCY;Corregimiento;Chayanta;Chayanta;1583;not_after;1783;exact;;;;;False;;C;C;chayanta_jurisdiccion_cha;conceptos:corregimiento;CCPOCYJU;cha_potosi_chayanta;CHA;Potosi;;Corregimiento de Chayanta;[[:conceptos:corregimiento|Corregimiento]] de Chayanta;False
608;CHA;JUCCPOCY;Subdelegacion;Chayanta;Chayanta;1784;exact;1808;hgis;;;;;False;;Sd.;Sd.;chayanta_jurisdiccion_cha;conceptos:subdelegacion;CCPOCYJU;cha_potosi_chayanta;CHA;Potosi;;Subdelegacion de Chayanta;[[:conceptos:subdelegacion|Subdelegacion]] de Chayanta;False
609;CHA;JUCCPOLI;Corregimiento;Lipes;Lipes;1628;not_after;1783;exact;;;;;False;;C;C;lipes_jurisdiccion_cha;conceptos:corregimiento;CCPOLIJU;cha_potosi_lipes;CHA;Potosi;;Corregimiento de Lipes;[[:conceptos:corregimiento|Corregimiento]] de Lipes;False
