OficialID;foreignkey;prefix;prefixurl
1318;balqu;cathie;https://www.catholic-hierarchy.org/bishop/
1319;18456;GCath;
1319;bdgal;cathie;https://www.catholic-hierarchy.org/bishop/
1320;18457;GCath;
1320;bmendig;cathie;https://www.catholic-hierarchy.org/bishop/
1321;Francisco del Rincón (religioso);wiki-es;https://es.wikipedia.org/wiki/
1321;18458;GCath;
1321;bdelri;cathie;https://www.catholic-hierarchy.org/bishop/
1322;18459;GCath;
1322;bfernna;cathie;https://www.catholic-hierarchy.org/bishop/
1323;18460;GCath;
1323;bguatel;cathie;https://www.catholic-hierarchy.org/bishop/
1324;18461;GCath;
1324;bcarib;cathie;https://www.catholic-hierarchy.org/bishop/
1325;18462;GCath;
1325;besctm;cathie;https://www.catholic-hierarchy.org/bishop/
1326;18463;GCath;
1326;bcuemal;cathie;https://www.catholic-hierarchy.org/bishop/
1327;18464;GCath;
1328;18465;GCath;
1328;bdgye;cathie;https://www.catholic-hierarchy.org/bishop/
1329;18466;GCath;
1329;bdltf;cathie;https://www.catholic-hierarchy.org/bishop/
1330;18467;GCath;
1330;bdalc;cathie;https://www.catholic-hierarchy.org/bishop/
1331;18468;GCath;
1331;bverz;cathie;https://www.catholic-hierarchy.org/bishop/
1332;18470;GCath;
1332;bdeoviedo;cathie;https://www.catholic-hierarchy.org/bishop/
1333;18471;GCath;
1333;bsolier;cathie;https://www.catholic-hierarchy.org/bishop/
1334;18472;GCath;
1334;bcond;cathie;https://www.catholic-hierarchy.org/bishop/
1335;18473;GCath;
1335;broju;cathie;https://www.catholic-hierarchy.org/bishop/
1336;18474;GCath;
1336;bramosn;cathie;https://www.catholic-hierarchy.org/bishop/
1337;18475;GCath;
1337;bpadillad;cathie;https://www.catholic-hierarchy.org/bishop/
1338;18476;GCath;
1338;bloda;cathie;https://www.catholic-hierarchy.org/bishop/
1339;18477;GCath;
1339;bcarvf;cathie;https://www.catholic-hierarchy.org/bishop/
1340;18478;GCath;
1340;45099200;viaf;https://viaf.org/viaf/
1340;bcoyle;cathie;https://www.catholic-hierarchy.org/bishop/
1341;18479;GCath;
1341;bdsalc;cathie;https://www.catholic-hierarchy.org/bishop/
1342;18480;GCath;
1342;barzol;cathie;https://www.catholic-hierarchy.org/bishop/
1343;18481;GCath;
