REG;gz_id;InstID;Label;Tipo;Cardinalidad;Rango;Lugar;START_;START_ex;END_;END_ex;Nota;Fuente;Orden;Superior;Principal;Domain
SDO;3000011;Correo_3000011;Estafeta de correo de Matanzas;Estafeta de correo;Estafeta;4;Matanzas;1765;not_after;9999;not_after;;AGI_Correos;;La Habana;La Habana;Correo
SDO;3000012;Correo_3000012;Estafeta de correo de Baracoa;Estafeta de correo;Estafeta;4;Baracoa;1806;exact;9999;exact;;AGI_Correos;;La Habana;La Habana;Correo
SDO;3000013;Correo_3000013;Estafeta de correo de Bayamo;Estafeta de correo;Estafeta;4;Bayamo;1765;not_after;9999;not_after;;AGI_Correos;;La Habana;La Habana;Correo
SDO;3000015;Correo_3000015;Estafeta de correo de Guanabacoa;Estafeta de correo;Estafeta;4;Guanabacoa;1765;not_after;9999;not_after;;AGI_Correos;;La Habana;La Habana;Correo
SDO;3000016;Correo_3000016;Estafeta de correo de Holguin;Estafeta de correo;Estafeta;4;Holguin;1807;exact;9999;exact;;AGI_Correos;;La Habana;La Habana;Correo
SDO;3000017;Correo_3000017;Estafeta de correo de Sancti Spiritus;Estafeta de correo;Estafeta;4;Sancti Spiritus;1765;not_after;9999;not_after;;AGI_Correos;;La Habana;La Habana;Correo
SDO;3000018;Correo_3000018;Estafeta de correo de San Juan de los Remedios;Estafeta de correo;Estafeta;4;San Juan de los Remedios;1765;not_after;9999;not_after;;AGI_Correos;;La Habana;La Habana;Correo
SDO;3000019;Correo_3000019;Estafeta de correo de Santa Clara;Estafeta de correo;Estafeta;4;Santa Clara;1765;not_after;9999;not_after;;AGI_Correos;;La Habana;La Habana;Correo
SDO;3000021;Correo_3000021;Estafeta de correo de Jaruco;Estafeta de correo;Estafeta;4;Jaruco;1794;;9999;;;AGI_Correos;;La Habana;La Habana;Correo
SDO;3000022;Correo_3000022;Estafeta de correo de Santa Maria del Rosario;Estafeta de correo;Estafeta;4;Santa Maria del Rosario;1794;;9999;;;AGI_Correos;;La Habana;La Habana;Correo
SDO;3000023;Correo_3000023;Estafeta de correo de Nueva Orleans;Estafeta de correo;Estafeta;4;Nueva Orleans;1768;exact;1805;exact;;AGI_Correos;;La Habana;La Habana;Correo
SDO;3000125;Correo_3000125;Estafeta de correo de Mobila;Estafeta de correo;Estafeta;4;Mobila;1784;;1794;;;AGI_Correos;;La Habana;La Habana;Correo
SDO;3000174;Correo_3000174;Estafeta de correo de Puerto de Plata;Estafeta de correo;Estafeta;4;Puerto de Plata;1773;exact;1801;exact;;AGI_Correos;;Santo Domingo;Santo Domingo;Correo
SDO;3000175;Correo_3000175;Estafeta de correo de Montecristi;Estafeta de correo;Estafeta;4;Montecristi;1765;exact;1801;exact;;AGI_Correos;;Santo Domingo;Santo Domingo;Correo
SDO;3000177;Correo_3000177;Estafeta de correo de San Juan;Estafeta de correo;Estafeta;4;San Juan;1773;exact;1801;exact;;AGI_Correos;;Santo Domingo;Santo Domingo;Correo
SDO;3000178;Correo_3000178;Estafeta de correo de Neiba;Estafeta de correo;Estafeta;4;Neiba;1773;exact;1801;exact;;AGI_Correos;;Santo Domingo;Santo Domingo;Correo
SDO;3000182;Correo_3000182;Estafeta de correo de San Rafael de Rozas;Estafeta de correo;Estafeta;4;San Rafael de Rozas;1773;exact;1801;exact;;AGI_Correos;;Santo Domingo;Santo Domingo;Correo
